Thu Jan 16 08:42:43 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Thu Jan 16 11:39:38 JST 2020: send msg: [113935197] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:39:38 JST 2020: send msg: [addAction:requestMessage:am;113938746] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:39:38 JST 2020: send msg: [addAction:say:長いイヤリングは最近すごく人気みたいだよ] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:39:42 JST 2020: send msg: [113938746] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:39:43 JST 2020: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:39:43 JST 2020: send msg: [addAction:say:やっぱり華やかだからかなあ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:39:43 JST 2020: send msg: [addAction:requestMessage:am;11394335] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:39:45 JST 2020: send msg: [11394335] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:39:45 JST 2020: send msg: [addAction:say:短いのはみんな持ってるから、長いのあげたら喜んでもらえそう] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:39:45 JST 2020: send msg: [addAction:requestMessage:am;113945966] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:39:51 JST 2020: send msg: [113945966] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:39:51 JST 2020: send msg: [addAction:say:あと色がシルバーのものだともっといいと思うなあ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:39:51 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:39:51 JST 2020: send msg: [addAction:requestMessage:am;113951664] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:39:56 JST 2020: send msg: [113951664] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:39:56 JST 2020: send msg: [addAction:say:うん、そうだね] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:39:56 JST 2020: send msg: [addAction:say:シルバーは色合いが上品で、普段から使いやすいよね] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:39:56 JST 2020: send msg: [addAction:requestMessage:am;113956523] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:01 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:16)
Thu Jan 16 11:40:01 JST 2020: send msg: [kanren] to 'sh' (/127.0.0.1, ID:16)
Thu Jan 16 11:40:01 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:40:01 JST 2020: send msg: [kanren] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:40:01 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:01 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:01 JST 2020: send msg: [addAction:say:上品なイヤリングだね] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:01 JST 2020: send msg: [addAction:requestMessage:am;11401785] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:04 JST 2020: send msg: [11401785] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:40:04 JST 2020: send msg: [addAction:requestMessage:am;11404686] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:04 JST 2020: send msg: [addAction:say:そうだね、デザインが洗練されてるね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:08 JST 2020: send msg: [11404686] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:40:08 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:08 JST 2020: send msg: [addAction:say:うん、うん、凛とした輝きがあるね] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:08 JST 2020: send msg: [addAction:requestMessage:am;11408729] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:11 JST 2020: send msg: [11408729] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:40:11 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:11 JST 2020: send msg: [addAction:say:素材とか値段も考えて、もっとたくさん見て決めたいよ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:11 JST 2020: send msg: [addAction:say:うん、確かにそうだね。:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:11 JST 2020: send msg: [addAction:requestMessage:am;114011908] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:14 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:16)
Thu Jan 16 11:40:14 JST 2020: send msg: [cool] to 'sh' (/127.0.0.1, ID:16)
Thu Jan 16 11:40:14 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:40:14 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:14 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:14 JST 2020: send msg: [cool] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:40:14 JST 2020: send msg: [addAction:say:イヤリング選ぶの種類も多くて大変そうだね] to 'sota' (/100.80.194.202, ID:33)
