Mon Oct 21 10:12:03 JST 2019: @@@ RUN STAMP @@@ -- Frontier-is
Mon Oct 21 12:09:26 JST 2019: send msg: [addAction:requestMessage:am;12926926] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:09:29 JST 2019: send msg: [4doc] to 'sh' (/100.80.194.226, ID:23)
Mon Oct 21 12:09:29 JST 2019: send msg: [4doc] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:09:29 JST 2019: send msg: [wait:5000] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:09:29 JST 2019: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:09:29 JST 2019: send msg: [addAction:say:女の子に何かプレゼントするなら、やっぱり4ドシーだね] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:09:29 JST 2019: send msg: [addAction:requestMessage:am;12929307] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:09:31 JST 2019: send msg: [12926926] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:09:34 JST 2019: send msg: [12929307] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:10:46 JST 2019: send msg: [4doc] to 'sh' (/100.80.194.226, ID:23)
Mon Oct 21 12:10:46 JST 2019: send msg: [4doc] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:10:46 JST 2019: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:10:46 JST 2019: send msg: [wait:5000] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:10:46 JST 2019: send msg: [addAction:requestMessage:am;121046117] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:10:46 JST 2019: send msg: [addAction:say:女の子に何かプレゼントするなら、やっぱり4ドシーだね] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:10:51 JST 2019: send msg: [121046117] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:10:51 JST 2019: send msg: [addAction:motionWith:pose:800:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:10:51 JST 2019: send msg: [addAction:say:みんな喜んでくれるよね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:10:51 JST 2019: send msg: [addAction:requestMessage:am;121051441] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:10:53 JST 2019: send msg: [121051441] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:10:54 JST 2019: send msg: [addAction:motionWith:pose:-800:-900:0:900:0:0:0:0:700] to 'sota' (/100.80.194.247, ID:81)
