Mon Feb 10 19:13:08 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Mon Feb 10 19:26:53 JST 2020: send msg: [addAction:requestMessage:am;192653141] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:26:58 JST 2020: send msg: [192653141] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:26:58 JST 2020: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:26:58 JST 2020: send msg: [addAction:say:うん、うん、間違いないよ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:26:58 JST 2020: send msg: [addAction:requestMessage:am;192658634] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:27:01 JST 2020: send msg: [192658634] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:27:01 JST 2020: send msg: [addAction:say:女性のためにプレゼントをあげる男性はやっぱり、かっこいいね!] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:27:01 JST 2020: send msg: [addAction:requestMessage:am;19271686] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:27:06 JST 2020: send msg: [19271686] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:27:13 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:16)
Mon Feb 10 19:27:13 JST 2020: send msg: [kanren] to 'sh' (/127.0.0.1, ID:16)
Mon Feb 10 19:27:13 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:27:13 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:27:13 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:27:13 JST 2020: send msg: [kanren] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:27:13 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:27:13 JST 2020: send msg: [addAction:say:キュートなイヤリングだね] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:27:13 JST 2020: send msg: [addAction:requestMessage:am;192713846] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:27:15 JST 2020: send msg: [192713846] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:27:15 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:27:15 JST 2020: send msg: [addAction:say:そうだね、華やかさもあるね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:27:15 JST 2020: send msg: [addAction:requestMessage:am;192715829] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:27:19 JST 2020: send msg: [192715829] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:27:19 JST 2020: send msg: [addAction:requestMessage:am;192719237] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:27:19 JST 2020: send msg: [addAction:say:ファッションを選ばずに合わせられそうだね] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:27:22 JST 2020: send msg: [192719237] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:27:22 JST 2020: send msg: [addAction:say:もう少し、他のも見てみたいなあ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:27:22 JST 2020: send msg: [addAction:requestMessage:am;192722348] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:27:22 JST 2020: send msg: [addAction:say:うん、僕もそう思う:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:27:27 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:16)
Mon Feb 10 19:27:27 JST 2020: send msg: [first] to 'sh' (/127.0.0.1, ID:16)
Mon Feb 10 19:27:27 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:27:27 JST 2020: send msg: [first] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:27:27 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:27:27 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:27:27 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:27:27 JST 2020: send msg: [addAction:say:ねえ知ってる?] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:27:27 JST 2020: send msg: [addAction:requestMessage:am;192727343] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:27:29 JST 2020: send msg: [192727343] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:27:29 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:27:29 JST 2020: send msg: [addAction:requestMessage:am;192729327] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:27:29 JST 2020: send msg: [addAction:say:なになに?:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:27:30 JST 2020: send msg: [192729327] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:27:30 JST 2020: send msg: [addAction:requestMessage:am;192730904] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:27:30 JST 2020: send msg: [addAction:say:イヤリングなどのジュエリーは、女性がもらってうれしいプレゼントランキングで] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:27:35 JST 2020: disconnect with: 'op' (/127.0.0.1,106)
Mon Feb 10 19:27:36 JST 2020: send msg: [192730904] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:27:36 JST 2020: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:27:36 JST 2020: send msg: [addAction:say:うん、うん:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:27:36 JST 2020: send msg: [addAction:requestMessage:am;192736345] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:27:38 JST 2020: send msg: [192736345] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:27:38 JST 2020: send msg: [addAction:requestMessage:am;192738227] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:27:38 JST 2020: send msg: [addAction:say:第1位なんだって] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:27:40 JST 2020: send msg: [192738227] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:27:40 JST 2020: send msg: [addAction:say:すごい、やっぱりジュエリーは人気だね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:27:40 JST 2020: send msg: [addAction:requestMessage:am;192740363] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:27:44 JST 2020: send msg: [192740363] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:39:24 JST 2020: Connect with /127.0.0.1, ID: 201
Mon Feb 10 19:39:24 JST 2020: Register name as: 'op' (/127.0.0.1, ID:201)
Mon Feb 10 19:39:33 JST 2020: send msg: [4doc] to 'sh' (/127.0.0.1, ID:16)
Mon Feb 10 19:39:33 JST 2020: send msg: [4doc] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:39:33 JST 2020: send msg: [addAction:idleMode:breath] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:39:33 JST 2020: send msg: [addAction:requestMessage:am;193933373] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:39:33 JST 2020: send msg: [193933373] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:39:33 JST 2020: send msg: [addAction:requestMessage:am;193933729] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:39:33 JST 2020: send msg: [addAction:idleMode:breath] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:39:34 JST 2020: send msg: [193933729] to 'am' (/127.0.0.1, ID:10)
