Tue Jan 07 14:21:15 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Tue Jan 07 15:07:26 JST 2020: send msg: [addAction:wait:500] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:07:26 JST 2020: send msg: [addAction:requestMessage:am;157263] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:07:26 JST 2020: send msg: [addAction:say:長いイヤリングは動きが華やかで人気らしいよ] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:07:30 JST 2020: send msg: [157263] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:07:30 JST 2020: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:07:30 JST 2020: send msg: [addAction:requestMessage:am;15730632] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:07:30 JST 2020: send msg: [addAction:say:へー、長いイヤリングかあ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:07:33 JST 2020: send msg: [15730632] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:10:11 JST 2020: send msg: [kanren] to 'sh' (/127.0.0.1, ID:22)
Tue Jan 07 15:10:11 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:22)
Tue Jan 07 15:10:11 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:10:11 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:10:11 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:10:11 JST 2020: send msg: [kanren] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:10:11 JST 2020: send msg: [addAction:motionWith:pose:-1200:-900:0:900:0:0:0:0:500] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:10:11 JST 2020: send msg: [addAction:say:大人っぽいイヤリングはいいなあ] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:10:11 JST 2020: send msg: [addAction:requestMessage:am;151011938] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:10:14 JST 2020: send msg: [151011938] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:10:14 JST 2020: send msg: [addAction:say:うん、僕もそう思う:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:10:14 JST 2020: send msg: [addAction:requestMessage:am;151014481] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:10:14 JST 2020: send msg: [addAction:say:イヤリング一つで、与える印象がだいぶ変わるね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:10:21 JST 2020: send msg: [151014481] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:10:21 JST 2020: send msg: [addAction:wait:1000] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:10:21 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:10:21 JST 2020: send msg: [addAction:say:他にはどんなのがあるかな] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:10:21 JST 2020: send msg: [addAction:requestMessage:am;151021348] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:10:25 JST 2020: send msg: [151021348] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:10:25 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:10:25 JST 2020: send msg: [addAction:requestMessage:am;151025167] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:10:25 JST 2020: send msg: [addAction:say:大人っぽいものからかわいいものまでたくさんあるね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:10:29 JST 2020: send msg: [151025167] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:10:29 JST 2020: send msg: [addAction:say:うん、うん] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:10:29 JST 2020: send msg: [addAction:requestMessage:am;151029643] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:10:29 JST 2020: send msg: [addAction:say:ちなみに今の人気はシルバーのイヤリングみたいだよ] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:10:37 JST 2020: send msg: [151029643] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:10:37 JST 2020: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:10:37 JST 2020: send msg: [addAction:requestMessage:am;151037221] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:10:37 JST 2020: send msg: [addAction:say:上品で女性らしい色合いが人気なのかな:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:10:41 JST 2020: send msg: [151037221] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:11:00 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:22)
Tue Jan 07 15:11:00 JST 2020: send msg: [kanren] to 'sh' (/127.0.0.1, ID:22)
Tue Jan 07 15:11:00 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:11:00 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:11:00 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:11:00 JST 2020: send msg: [kanren] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:11:00 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:11:00 JST 2020: send msg: [addAction:requestMessage:am;15110414] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:11:00 JST 2020: send msg: [addAction:say:キュートなイヤリングだね] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:11:02 JST 2020: send msg: [15110414] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:11:02 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota2' (/100.80.194.203, ID:16)
