Wed Jan 15 16:08:08 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Wed Jan 15 16:08:08 JST 2020: Connect with /127.0.0.1, ID: 10
Wed Jan 15 16:20:40 JST 2020: Register name as: 'op' (/127.0.0.1, ID:98)
Wed Jan 15 16:42:20 JST 2020: disconnect with: 'op' (/127.0.0.1,98)
Wed Jan 15 16:42:40 JST 2020: Connect with /127.0.0.1, ID: 102
Wed Jan 15 16:42:40 JST 2020: Register name as: 'op' (/127.0.0.1, ID:102)
Wed Jan 15 16:46:31 JST 2020: Connect with /127.0.0.1, ID: 105
Wed Jan 15 16:46:31 JST 2020: Register name as: 'op' (/127.0.0.1, ID:105)
Wed Jan 15 16:46:42 JST 2020: disconnect with: 'op' (/127.0.0.1,105)
Wed Jan 15 16:46:44 JST 2020: disconnect with: 'op' (/127.0.0.1,102)
Wed Jan 15 16:46:48 JST 2020: Connect with /127.0.0.1, ID: 110
Wed Jan 15 16:46:48 JST 2020: Register name as: 'op' (/127.0.0.1, ID:110)
Wed Jan 15 16:46:57 JST 2020: send msg: [4doc] to 'sh' (/127.0.0.1, ID:12)
Wed Jan 15 16:46:57 JST 2020: send msg: [4doc] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 16:46:57 JST 2020: send msg: [addAction:idleMode:breath] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 16:46:57 JST 2020: send msg: [addAction:requestMessage:am;164657683] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 16:46:57 JST 2020: send msg: [164657683] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 16:46:57 JST 2020: send msg: [addAction:idleMode:breath] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 16:46:57 JST 2020: send msg: [addAction:requestMessage:am;164657932] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 16:46:58 JST 2020: send msg: [164657932] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 16:46:58 JST 2020: send msg: [addAction:motion:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 16:46:58 JST 2020: send msg: [addAction:requestMessage:am;164658235] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 16:46:59 JST 2020: send msg: [164658235] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 16:46:59 JST 2020: send msg: [addAction:motion:pose:700:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 16:46:59 JST 2020: send msg: [addAction:requestMessage:am;164659142] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 16:46:59 JST 2020: send msg: [164659142] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 16:47:00 JST 2020: send msg: [addAction:say:4ドシーのイヤリングは20代から30代の若い世代に人気なんだって] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 16:47:00 JST 2020: send msg: [addAction:requestMessage:am;1647049] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 16:47:05 JST 2020: send msg: [1647049] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 16:47:06 JST 2020: send msg: [addAction:say:そうなんだ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 16:47:06 JST 2020: send msg: [addAction:say:女性が普段身につけるものだからこそ、丁寧に選びたいね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 16:47:06 JST 2020: send msg: [addAction:requestMessage:am;1647658] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 16:47:11 JST 2020: disconnect with: 'op' (/127.0.0.1,110)
Wed Jan 15 16:47:12 JST 2020: send msg: [1647658] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 16:47:13 JST 2020: send msg: [addAction:say:どんなイヤリングを選ぶかで男性側のセンスがでるからね] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 16:47:13 JST 2020: send msg: [addAction:requestMessage:am;16471334] to 'sota' (/100.80.194.202, ID:34)
