Fri Oct 11 14:23:22 JST 2019: @@@ RUN STAMP @@@ -- Frontier-is
Fri Oct 11 14:23:22 JST 2019: Connect with /100.80.194.128, ID: 10
Fri Oct 11 14:35:31 JST 2019: send msg: [addAction:requestMessage:am;14353119] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:35:34 JST 2019: send msg: [14353119] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:35:34 JST 2019: send msg: [addAction:posture:homePosture] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:35:34 JST 2019: send msg: [addAction:say:K10ホワイトゴールドだね、何がいいの?:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:35:34 JST 2019: send msg: [addAction:requestMessage:am;143534390] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:35:38 JST 2019: send msg: [143534390] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:35:38 JST 2019: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:35:38 JST 2019: send msg: [addAction:say:ホワイトは上品な感じをだしつつ、どんなファッションにも合わせやすいんだ] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:35:38 JST 2019: send msg: [addAction:requestMessage:am;143538767] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:35:44 JST 2019: send msg: [143538767] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:35:44 JST 2019: send msg: [addAction:say:なるほどなあ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:35:44 JST 2019: send msg: [addAction:requestMessage:am;143544615] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:35:46 JST 2019: send msg: [143544615] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:35:46 JST 2019: send msg: [addAction:say:コーティングもされていて、長く使っても変色しにくいんだ] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:35:46 JST 2019: send msg: [addAction:requestMessage:am;143546395] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:35:53 JST 2019: send msg: [143546395] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:35:53 JST 2019: send msg: [addAction:say:K10ホワイトゴールド、だね、探してみるよ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:35:53 JST 2019: send msg: [addAction:requestMessage:am;143553513] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:35:58 JST 2019: send msg: [143553513] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:36:20 JST 2019: send msg: [narrow-heart] to 'sh' (/100.80.194.226, ID:22)
Fri Oct 11 14:36:20 JST 2019: send msg: [narrow-heart] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:36:20 JST 2019: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:36:20 JST 2019: send msg: [addAction:requestMessage:am;143620491] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:36:20 JST 2019: send msg: [addAction:say:プレゼント選び、絶対に失敗したくないよね] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:36:24 JST 2019: send msg: [143620491] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:36:24 JST 2019: send msg: [addAction:motionWith:pose:1200:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:36:24 JST 2019: send msg: [addAction:say:失敗したくない:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:36:24 JST 2019: send msg: [addAction:requestMessage:am;143624914] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:36:27 JST 2019: send msg: [143624914] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:36:27 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:36:27 JST 2019: send msg: [addAction:say:そんな人は、ページ上部のモチーフから絞り込むのところを] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:36:27 JST 2019: send msg: [addAction:requestMessage:am;143627100] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:36:32 JST 2019: send msg: [143627100] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:36:32 JST 2019: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:36:32 JST 2019: send msg: [addAction:say:モチーフのところを:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:36:32 JST 2019: send msg: [addAction:requestMessage:am;143632898] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:36:35 JST 2019: send msg: [143632898] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:36:35 JST 2019: send msg: [addAction:motionWith:pose:-800:-900:0:900:0:0:0:0:700] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:36:35 JST 2019: send msg: [addAction:requestMessage:am;143635238] to 'sota' (/100.80.194.128, ID:10)
