Tue Dec 17 23:15:46 JST 2019: @@@ RUN STAMP @@@ -- Frontier-is
Tue Dec 17 23:15:46 JST 2019: Connect with /100.80.194.248, ID: 10
Tue Dec 17 23:22:12 JST 2019: send msg: [ok_long] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:22:12 JST 2019: send msg: [ok_long] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:22:12 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:22:12 JST 2019: send msg: [addAction:requestMessage:am;232212602] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:22:12 JST 2019: send msg: [addAction:say:これはすごく女性らしくていいイヤリングだよ] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:22:12 JST 2019: send msg: [addAction:motionWith:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:22:12 JST 2019: send msg: [addAction:requestMessage:am;232212625] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:22:12 JST 2019: send msg: [addAction:say:長さが特徴的なイヤリングだね] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:22:16 JST 2019: send msg: [232212602] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:22:18 JST 2019: send msg: [232212625] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:22:29 JST 2019: send msg: [ok_long] to 'sh' (/100.80.194.226, ID:25)
Tue Dec 17 23:22:29 JST 2019: send msg: [ok_long] to 'sh' (/100.80.194.226, ID:19)
Tue Dec 17 23:22:29 JST 2019: send msg: [ok_long] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:22:29 JST 2019: send msg: [ok_long] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:22:29 JST 2019: send msg: [addAction:motionWith:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:22:29 JST 2019: send msg: [addAction:say:長さが特徴的なイヤリングだね] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:22:29 JST 2019: send msg: [addAction:requestMessage:am;232229266] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:22:29 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:22:29 JST 2019: send msg: [addAction:say:これはすごく女性らしくていいイヤリングだよ] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:22:29 JST 2019: send msg: [addAction:requestMessage:am;232229296] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:22:32 JST 2019: send msg: [232229266] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:22:35 JST 2019: send msg: [232229296] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:23:03 JST 2019: disconnect with: 'sota2' (/100.80.194.248,10)
Tue Dec 17 23:23:11 JST 2019: Connect with /100.80.194.248, ID: 142
Tue Dec 17 23:23:11 JST 2019: Register name as: 'sota2' (/100.80.194.248, ID:142)
Tue Dec 17 23:23:18 JST 2019: send msg: [ok_long] to 'sh' (/100.80.194.226, ID:19)
Tue Dec 17 23:23:18 JST 2019: send msg: [ok_long] to 'sh' (/100.80.194.226, ID:25)
