Fri Jan 31 21:42:14 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Fri Jan 31 21:42:14 JST 2020: Connect with /100.80.194.162, ID: 10
Fri Jan 31 21:46:19 JST 2020: send msg: [addAction:requestMessage:am;214619615] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:46:23 JST 2020: send msg: [214619615] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:46:23 JST 2020: send msg: [addAction:wait:1000] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:46:23 JST 2020: send msg: [addAction:requestMessage:am;214623123] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:46:23 JST 2020: send msg: [addAction:say:他にはどんなイヤリングがあるのかなあ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:46:28 JST 2020: send msg: [214623123] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:46:28 JST 2020: send msg: [addAction:say:シルバーのイヤリングは上品な色合いで女性受けが良さそう] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:46:28 JST 2020: send msg: [addAction:requestMessage:am;214628361] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:46:33 JST 2020: send msg: [214628361] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:46:33 JST 2020: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:46:33 JST 2020: send msg: [addAction:say:へー、シルバーかあ、良さそうだなあ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:46:33 JST 2020: send msg: [addAction:requestMessage:am;214633348] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:46:37 JST 2020: send msg: [214633348] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:46:44 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:19)
Fri Jan 31 21:46:44 JST 2020: send msg: [cool] to 'sh' (/127.0.0.1, ID:19)
Fri Jan 31 21:46:44 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:46:44 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:46:44 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:46:44 JST 2020: send msg: [cool] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:46:44 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:46:44 JST 2020: send msg: [addAction:say:イヤリング選ぶの種類も多くて大変そうだね] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:46:44 JST 2020: send msg: [addAction:requestMessage:am;214644301] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:46:48 JST 2020: send msg: [214644301] to 'am' (/127.0.0.1, ID:16)
